n2000code:text	name:text	authority:text	eunisurl:url
6055	Leuciscus carolitertii	Doadrio, 1988	http://eunis.eea.europa.eu/species/15062
6056	Leuciscus cephalus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/10016
6057	Leuciscus cephalus vardarensis	Karaman, 1928	http://eunis.eea.europa.eu/species/15068
6058	Leuciscus souffia agassizi	Valenciennes, 1844	http://eunis.eea.europa.eu/species/127556
6059	Leuciscus torgalensis	Coelho, Bogutskaya, Rodrigues & Collares-Pereira, 1998	http://eunis.eea.europa.eu/species/16170
6060	Neogobius gymnotrachelus	(Kessler, 1857)	http://eunis.eea.europa.eu/species/10338
6061	Neogobius kessleri	(Günther, 1861)	http://eunis.eea.europa.eu/species/10370
6062	Neogobius platyrostris	(Pallas, 1814)	http://eunis.eea.europa.eu/species/16347
6063	Neogobius ratan	(Nordmann, 1840)	http://eunis.eea.europa.eu/species/16348
6064	Neogobius syrman	(Nordmann, 1840)	http://eunis.eea.europa.eu/species/10365
6066	Pseudolepidaplois scrofa	(Valenciennes, 1839)	http://eunis.eea.europa.eu/species/123936
6067	Salvelinus salvelinus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/15675
6068	Scorpaena maderensis	Valenciennes, 1833	http://eunis.eea.europa.eu/species/125327
6069	Solea nasuta	(Pallas, 1814)	http://eunis.eea.europa.eu/species/124332
6071	Stomias boa	(Risso, 1810)	http://eunis.eea.europa.eu/species/121707
6073	Trigla lucerna	Linnaeus, 1758	http://eunis.eea.europa.eu/species/125046
6075	Rutilus pigus virgo	(Heckel, 1852)	http://eunis.eea.europa.eu/species/592
6076	Tropidophoxinellus alburnoides	(Steindachner, 1866)	http://eunis.eea.europa.eu/species/620
6077	Cobitis aurata balcanica	(Karaman, 1922)	http://eunis.eea.europa.eu/species/131570
6078	Cobitis taenia taenia	Linnaeus, 1758	http://eunis.eea.europa.eu/species/126793
6079	Hellenolacerta graeca	(Bedriaga, 1886)	http://eunis.eea.europa.eu/species/316327
6082	Lacerta muralis	(Laurenti, 1768)	http://eunis.eea.europa.eu/species/728
6085	Pseudopus apodus	(Pallas, 1775)	http://eunis.eea.europa.eu/species/750
6086	Chalcides occidentalis	(Steindachner, 1900)	http://eunis.eea.europa.eu/species/643
6089	Dolichophis jugularis	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/316297
6091	Zamenis longissimus	(Laurenti, 1768)	http://eunis.eea.europa.eu/species/316299
6092	Platyceps najadum	(Eichwald, 1831)	http://eunis.eea.europa.eu/species/316306
6095	Zamenis situla	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/316300
6096	Montivipera xanthina	(Gray, 1849)	http://eunis.eea.europa.eu/species/316337
6097	Vipera schweizeri	Nilson & Andrén, 1988	http://eunis.eea.europa.eu/species/739
6100	Citellus citellus	(Linnaeus, 1766)	http://eunis.eea.europa.eu/species/1381
6104	Genetta genetta isabelae	Delibes, 1977	http://eunis.eea.europa.eu/species/15700
6105	Felis lynx	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1402
6107	Felis silvestris cretensis	Haltenorth, 1953	http://eunis.eea.europa.eu/species/15698
6108	Felis silvestris lybica	Forster, 1780	http://eunis.eea.europa.eu/species/314944
6110	Felis silvestris silvestris	Schreber, 1775	http://eunis.eea.europa.eu/species/314945
6112	Sciuropterus russicus	Tiedemann, 1808	http://eunis.eea.europa.eu/species/1557
6113	Vespertilio kuhlii	Kuhl, 1817	http://eunis.eea.europa.eu/species/316647
6114	Globicephala melaena	(Traill, 1809)	http://eunis.eea.europa.eu/species/8513
6120	Alburnoides bipunctatus thessalicus	Stephanidis, 1950	http://eunis.eea.europa.eu/species/14930
6121	Syngnathus nigrolineatus	Eichwald, 1831	http://eunis.eea.europa.eu/species/10061
6124	Crocidura russula cypria	Bate, 1904	http://eunis.eea.europa.eu/species/15691
6129	Lepus capensis mediterraneus	Wagner, 1841	http://eunis.eea.europa.eu/species/315078
6134	Eliomys quercinus ophiusae	Thomas, 1925	http://eunis.eea.europa.eu/species/15696
6136	Elaphe lineata	(Camerano, 1891)	http://eunis.eea.europa.eu/species/241594
6137	Euleptes europaea	(Gené, 1838)	http://eunis.eea.europa.eu/species/241491
6138	Dolichophis caspius	(Gmelin, 1789)	http://eunis.eea.europa.eu/species/316308
6139	Laudakia stellio	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/629
6140	Agama stellio	Boulenger, 1885	http://eunis.eea.europa.eu/species/737
6142	Ovis ammon musimon	(Pallas, 1811)	http://eunis.eea.europa.eu/species/1503
6143	Romanogobio kesslerii	(Dybowski, 1862)	http://eunis.eea.europa.eu/species/314274
6144	Romanogobio albipinnatus	(Lukasch, 1933)	http://eunis.eea.europa.eu/species/128690
6145	Romanogobio uranoscopus	(Agassiz, 1828)	http://eunis.eea.europa.eu/species/314278
6146	Rutilus meidingeri	(Heckel, 1851)	http://eunis.eea.europa.eu/species/585
6147	Telestes souffia	(Risso, 1826)	http://eunis.eea.europa.eu/species/16289
6148	Squalius lucumonis	(Bianco, 1983)	http://eunis.eea.europa.eu/species/314310
